Год,Топливо,Производство (добыча) первичной энергии с учетом запасов,Импорт,Экспорт,Валовое потребление ТЭР,Преобразование,Преобразование в тепловую и электрическую энергии,Переработка в другие виды топлива,Потребление в неэнергетическом секторе,Сырье для производства нетопливной продукции,Материалы на нетопливные нужды,Потери,Конечное потребление,Потребление в промышленности,горнодобывающая промышленность,обрабатывающая,"производство продуктов питания, напитков и табачных изделий","производство текстильных изделий, одежды, изделий из кожи и меха",производство изделий из дерева и бумаги; полиграфи-ческая деятельность и тиражирование записанных носителей информации,производство кокса и продуктов нефтепереработки,производство химических продуктов,"производство резиновых и пластмассовых изделий, прочих неметаллических минеральных продуктов","металлургическое производство, производство готовых металлических изделий, кроме машин и оборудования","производство машин и оборудования, не включенных в другие группировки",производство транспортных средств и оборудования,производство прочих готовых изделий,"снабжение электроэнергией, газом, паром, горячей водой и кондиционированным воздухом",строительство,"Сельское, лесное и рыбное хозяйство",Транспорт,Сектор услуг,Жилищный сектор,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
2010.0,Уголь,18.0,42.0,0.0,60,24.0,24.0,0.0,13.0,3.0,10.0,1.0,22.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,3.0,2.0,,22.0,22.0,0.0
2010.0,Торф топливный,879.0,0.0,0.0,879,773.0,93.0,680.0,0.0,0.0,0.0,74.0,32.0,29.0,0.0,18.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,2.0,1.0,,43.0,32.0,0.0
2010.0,Дрова,1535.0,0.0,0.0,1535,520.0,431.0,89.0,4.0,0.0,4.0,1.0,1010.0,37.0,0.0,12.0,4.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,25.0,14.0,70.0,0.0,79.0,810.0,,1035.0,1010.0,0.0
2010.0,Прочие виды природного топлива,709.0,0.0,0.0,709,528.0,459.0,69.0,0.0,0.0,0.0,0.0,181.0,67.0,0.0,51.0,4.0,2.0,24.0,0.0,0.0,15.0,1.0,2.0,0.0,3.0,16.0,12.0,37.0,0.0,8.0,57.0,,197.0,181.0,0.0
2010.0,Топливные брикеты,649.0,0.0,193.0,456,83.0,83.0,0.0,0.0,0.0,0.0,0.0,373.0,16.0,1.0,14.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,62.0,284.0,,374.0,373.0,0.0
2010.0,Автомобильный бензин,4608.0,4.0,3162.0,1450,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1651.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,9.0,1627.0,6.0,0.0,,1654.0,1651.0,-201.0
2010.0,Дизельное топливо,7752.0,1188.0,4128.0,4812,1163.0,2.0,1161.0,1.0,0.0,1.0,0.0,3922.0,106.0,19.0,68.0,13.0,7.0,6.0,7.0,7.0,9.0,3.0,7.0,6.0,3.0,19.0,190.0,868.0,2713.0,45.0,0.0,,3941.0,3922.0,-274.0
2010.0,Топочный мазут,6315.0,377.0,4916.0,1776,833.0,496.0,337.0,802.0,801.0,1.0,1.0,484.0,454.0,0.0,452.0,3.0,0.0,5.0,435.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,26.0,0.0,0.0,4.0,0.0,,486.0,484.0,-344.0
2010.0,Сжиженный газ,639.0,88.0,377.0,350,1.0,1.0,0.0,0.0,0.0,0.0,2.0,353.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,167.0,0.0,181.0,,353.0,353.0,-6.0
2010.0,Газ нефтепреработки,736.0,0.0,0.0,736,135.0,135.0,0.0,0.0,0.0,0.0,6.0,595.0,595.0,0.0,595.0,0.0,0.0,0.0,595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,595.0,595.0,0.0
2010.0,"Кокс, коксик и коксовая мелочь",-5.0,75.0,0.0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,70.0,12.0,0.0,0.0,0.0,0.0,14.0,19.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.0,70.0,0.0
